name,id,city,state,lat,lon,score,rank,rank2,globalScore,country,price
Surf City Inn & Suites,42212,Santa Cruz, California,36.96986,-122.01988,400925.56,11.810301,97.8209228515625,30.0,US,279.00
Silverado Golf Course,147643504,Napa, California,38.35994,-122.26403,400987.97,0.5,97.81620025634766,30.0,US,719.98
Inn On Randolph,46299306,Napa, California,38.292615,-122.287015,400987.97,0.5,97.81620025634766,30.0,US,470.35
Quality Inn Near Six Flags Discovery Kingdom-Napa Valley,43633,Vallejo, California,38.13557,-122.2136,375053.16,11.810301,74.03386688232422,30.0,US,77.85
Embassy Suites BY Hilton Hotel Napa Valley,39373,Napa, California,38.2977200000001,-122.30032,368351.38,13.47378,66.86486053466797,30.0,US,339.00
Hotel Indigo Napa Valley,40664,Napa, California,38.3349400000001,-122.32164,367725.34,12.018117,66.37753295898438,30.0,US,300.05
Doubletree BY Hilton Hotel & SPA Napa Valley - American Canyon,10114304,American Canyon, California,38.172821,-122.253545,365207.97,12.049547,65.99331665039062,30.0,US,152.15
Hilton Santa Monica Hotel & Suites,39053,Santa Monica, California,34.01194,-118.489926,369760.2,12.017865,67.94300842285156,30.0,US,409.00
Comfort Inn Santa Monica - West Los Angeles,43607,Santa Monica, California,34.034838,-118.472434,368490.56,11.81031,66.94258880615234,30.0,US,209.20
Shore Hotel,9350505,Santa Monica, California,34.012414,-118.496122,368178.28,14.768902,66.69893646240234,30.0,US,649.00
Fairmont Miramar Hotel & Bungalows,17175204,Santa Monica, California,34.016788,-118.501227,367646.72,12.576059,66.28589630126953,30.0,US,539.10
Ocean View Hotel,43244,Santa Monica, California,34.01299,-118.49681,366312.28,11.8785095,65.26007843017578,30.0,US,305.00
Days Inn BY Wyndham Santa Monica/Los Angeles,44061,Santa Monica, California,34.036554,-118.470304,362959.9,11.810301,62.75127410888672,30.0,US,179.10
The Pierside Santa Monica,39652,Santa Monica, California,34.011972,-118.494185,362314.12,12.103711,62.279052734375,30.0,US,494.73
Hampton Inn BY Hilton & Suites Santa Monica,69378405,Santa Monica, California,34.01487778,-118.491075,362113.03,1.0,62.13270950317383,30.0,US,332.22
The Ambrose Hotel,31380504,Santa Monica, California,34.0303334,-118.4818477,355650.6,11.915893,57.60615921020508,30.0,US,386.10
Hotel Salina,29945705,Long Beach, California,33.827581,-118.188897,400909.1,11.810301,97.8209228515625,30.0,US,137.61
Hiland Motel,45322505,Long Beach, California,33.79002512,-118.21138456,400909.06,11.810301,97.8209228515625,30.0,US,90.00
Hilton Long Beach,39620,Long Beach, California,33.76766,-118.19939,378705.34,13.466581,75.52964782714844,30.0,US,380.24
Holiday Inn Long Beach - Airport,39820,Long Beach, California,33.80425,-118.14269,376042.1,11.810314,73.2187271118164,30.0,US,183.60
Golden Sails Hotel,43234,Long Beach, California,33.76559586,-118.11581611,371515.44,12.256213,69.44995880126953,30.0,US,83.01
Hotel Maya - A Doubletree BY Hilton Hotel,42760,Long Beach, California,33.757,-118.199,371333.94,11.929384,69.30286407470703,30.0,US,407.15
"Motel 6-Fresno, CA - Yosemite Hwy",4700605,Fresno, California,36.836,-119.79013,400956.1,11.810301,97.8209228515625,30.0,US,79.99
Summerfield Inn Fresno Yosemite,39087,Fresno, California,36.82836,-119.79012,400955.22,11.810301,97.8209228515625,30.0,US,135.00
Fresno City Inn,43093,Fresno, California,36.79268,-119.79054,377998.6,12.017747,74.86920928955078,30.0,US,58.65
Ramada BY Wyndham Fresno North,41461,Fresno, California,36.80856,-119.78272,375882.38,11.810301,73.04308319091797,30.0,US,71.91
"Motel 6-Fresno, CA - Blackstone North",18708704,Fresno, California,36.795312,-119.790618,372014.78,11.810301,69.8177490234375,30.0,US,69.99
La Quinta Inn & Suites BY Wyndham Fresno Northwest,17783004,Fresno, California,36.809946,-119.880572,366965.16,11.810301,65.81876373291016,30.0,US,104.95
Doubletree BY Hilton Fresno Convention Center,40066,Fresno, California,36.73175,-119.78313,365757.3,11.810301,64.8960189819336,30.0,US,192.96
Days Inn BY Wyndham Fresno South,1495705,Fresno, California,36.70585,-119.77075,363382.78,11.810426,63.11897277832031,30.0,US,73.00
"Motel 6-Fresno, CA - Blackstone South",17192704,Fresno, California,36.791227,-119.790459,362877.03,11.836448,62.74608612060547,30.0,US,62.69
The Monterey Fireplace Inn,7075305,Monterey, California,36.59734,-121.85477,400991.12,11.836448,97.82093048095703,30.0,US,70.00
Motel 6 Monterey Park,18150504,Monterey Park, California,34.045105,-118.161946,398972.03,11.831785,97.82093048095703,30.0,US,107.14
La Cuesta Inn,40572,San Luis Obispo, California,35.28995,-120.65008,398971.56,11.812711,97.8209228515625,30.0,US,219.00
Travel Inn Gilroy,60024405,Gilroy, California,36.9813317,-121.5565246,398971.56,11.810301,97.8209228515625,1.0,US,80.00
Intercontinental The Clement Monterey,9580705,Monterey, California,36.616603,-121.900763,379193.53,11.948928,75.8884506225586,30.0,US,554.90
Hilton Garden Inn Monterey,39499,Monterey, California,36.59062,-121.87966,374740.22,12.157779,72.0456771850586,30.0,US,376.28
Hyatt Regency Monterey Hotel And SPA,40406,Monterey, California,36.59309,-121.87702,371776.03,13.64896,69.5949478149414,30.0,US,319.20
Monterey Tides,43196,Monterey, California,36.61039,-121.85867,370857.3,15.014377,68.8521957397461,30.0,US,245.52
Hilton Santa Barbara Beachfront Resort,39032,Santa Barbara, California,34.41627,-119.67382,373413.62,11.837675,71.01287841796875,30.0,US,307.80
Ramada BY Wyndham Santa Barbara,41552,Santa Barbara, California,34.44405,-119.787594,373223.75,11.8112545,70.85560607910156,30.0,US,272.16
Kimpton Canary Hotel,5477805,Santa Barbara, California,34.42114,-119.70223,364234.72,11.931803,63.79129409790039,30.0,US,506.00
Azure Sky Hotel - Adults Only,3413005,Palm Springs, California,33.80206,-116.54133,400634.94,11.810301,97.8209228515625,30.0,US,278.10
Orbit In,86802103,Palm Springs, California,33.821582,-116.551951,400630.8,0.5,97.81620025634766,30.0,US,278.42
Travelodge BY Wyndham Palm Springs,41335,Palm Springs, California,33.80141,-116.53315,380198.5,11.810301,77.1026382446289,30.0,US,63.75
Hilton Palm Springs,39598,Palm Springs, California,33.8231,-116.54332,372511.56,12.009969,70.4876480102539,30.0,US,296.24
"Motel 6-Palm Springs, CA - East - Palm Canyon",18707604,Palm Springs, California,33.801341,-116.541363,372356.4,11.810303,70.3594741821289,30.0,US,59.99
Caliente Tropics Hotel,3231805,Palm Springs, California,33.8013114929199,-116.54269,372173.5,12.21681,70.21005249023438,30.0,US,133.20
HI Sacramento Hostel,40607605,Sacramento, California,38.5826189,-121.4929223,400763.34,11.810301,97.8209228515625,30.0,US,99.00
Travelers Inn,25785504,West Sacramento, California,38.578037,-121.549217,398971.44,11.810301,97.8209228515625,30.0,US,89.99
Comfort Suites Woodland - Sacramento Airport,40206904,Woodland, California,38.675215,-121.726344,398971.44,11.765835,97.8209228515625,30.0,US,99.00
Super 8 BY Wyndham Sacramento North,4008105,Sacramento, California,38.66115,-121.3631,379993.16,11.812711,76.80326080322266,30.0,US,52.79
Abby's Anaheimer Inn - Across Disneyland Park,17182204,Anaheim, California,33.803344,-117.928761,400893.72,11.866066,97.82093811035156,30.0,US,119.70
"Hotel Lulu, Bw Premier Collection",41819,Anaheim, California,33.80196099,-117.9152,379421.3,14.343749,76.17686462402344,30.0,US,299.00
Hilton Anaheim,39542,Anaheim, California,33.79979999,-117.91854599,379331.44,16.168941,76.0970458984375,30.0,US,344.08
Anaheim Marriott,41162,Anaheim, California,33.79959999,-117.918969,377249.78,11.994818,74.27127838134766,30.0,US,266.00
Kings Inn Anaheim At The Park & Convention Center,69015104,Anaheim, California,33.804373,-117.91294,376633.66,1.0,73.73926544189453,30.0,US,159.84
Howard Johnson Hotel&Conf Cntr BY Wyndham Fullerton/Anaheim,39941,Fullerton, California,33.854833,-117.926207,376095.44,13.533565,74.93951416015625,30.0,US,101.15
Extended Stay America Suites - Orange County - Anaheim Convention Center,5713805,Anaheim, California,33.804783,-117.91,375639.06,13.511467,72.8883285522461,30.0,US,142.49
Holiday Inn Hotel & Suites Anaheim,41580,Anaheim, California,33.816612,-117.928299,375067.1,11.811023,72.40338134765625,30.0,US,287.10
Sonesta Anaheim Resort Area,727602,Anaheim, California,33.80073399,-117.90063499,373894.84,13.54939,71.41936492919922,30.0,US,210.00
The Keating Hotel,10051304,San Diego, California,32.7136,-117.160775,400618.0,12.096118,97.82096099853516,1.0,US,180.95
Best Western Seven Seas,43086,San Diego, California,32.7609,-117.1664,382005.44,12.0396385,78.76022338867188,30.0,US,116.10
Days Inn BY Wyndham San Diego Hotel Circle Near Seaworld,44170,San Diego, California,32.7606,-117.167544,379971.3,13.175812,76.91384887695312,30.0,US,89.25
Hilton San Diego Mission Valley,39509,San Diego, California,32.764299,-117.156071,378558.8,14.676925,75.65705871582031,30.0,US,178.38
Trinity BY Luxurban,172917303,Los Angeles, California,34.04505,-118.25929,400603.1,0.5,97.86216735839844,1.0,US,137.70
The Los Angeles Athletic Club,3238405,Los Angeles, California,39.20582061,-106.95364246,400567.1,11.824474,97.82093048095703,30.0,US,228.57
Chateau Marmont,41313,Los Angeles, California,34.097786,-118.368316,400566.9,12.022253,97.82096099853516,1.0,US,595.00
Eagle Rock Motel,17476603,Los Angeles, California,34.130334,-118.188844,400566.9,12.225391,97.82097625732422,30.0,US,157.00
